DEPMD__m,WOB_AVG__tf,DEPTVD__m,ROPA_AVG__m/h,TORQ_AVG__kLbf.ft,SURFRPM_AVG__rpm,MOTORRPM_AVG__rpm,BITRPM_AVG__rpm,SPP_AVG__Psi,CHKP_AVG__Psi,CEMENTP_AVG__Psi,SPM01_AVG__Stk/min,SPM02_AVG__Stk/min,SPM03_AVG__Stk/min,PITACTIVE_AVG__bbl,FLOWIN_AVG__gal/min,FLOWOUTP_AVG__%,DIN_AVG__ppg,TIN_AVG__C,DOUT_AVG__ppg,TOUT_AVG__C,HP__hp,DOC__in/rev,MSE__ksi,Comments__TOC/TOP,well,cluster
2785,0.91,2634.51,92.79,4.99,76,0,76.0,1182,0,0,80,87,0,230.832,714,26.68,11.69,40.78,11.69,38.7,72.20868241,0.8011293,8.312146694,TOC,,3
2786,0.9,2635.38,95.97,4.97,76,0,76.0,1182,0,0,80,87,0,230.717,714,27.71,11.69,40.781,11.69,38.7,71.91926885,0.828584749,8.005444682,TOC,,3
2787,0.9,2636.25,96.18,4.96,76,0,76.0,1183,0,0,80,87,0,230.751,715,26.01,11.69,40.782,11.69,38.8,71.77456207,0.830397845,7.972042153,TOC,,3
2788,0.9,2637.1,96.84,4.98,76,0,76.0,1182,0,0,80,87,0,230.687,715,26.25,11.69,40.789,11.69,38.9,72.06397563,0.836096146,7.949735924,TOC,,3
2789,0.92,2637.97,94.73,4.99,76,0,76.0,1183,0,0,80,87,0,230.757,715,25.19,11.69,40.809,11.69,39,72.20868241,0.817878851,8.143051087,TOC,,3
2790,0.94,2638.83,92.52,5.0,76,0,76.0,1182,0,0,80,87,0,230.797,715,25.99,11.69,40.814,11.69,39,72.35338919,0.798798177,8.354117879,TOC,,3
2791,0.96,2639.71,96.07,4.97,76,0,76.0,1183,0,0,80,87,0,230.457,715,26.61,11.69,40.796,11.69,39.1,71.91926885,0.829448128,7.999518444,TOC,,3
2792,0.97,2640.59,97.31,5.01,76,0,76.0,1183,0,0,80,87,0,230.519,715,26.74,11.69,40.747,11.69,39,72.49809596,0.840154027,7.961721193,TOC,,3
2793,0.98,2641.45,94.03,5.03,76,0,76.0,1182,0,0,80,87,0,230.326,714,25.67,11.69,40.754,11.69,39,72.78750952,0.811835198,8.271238139,TOC,,3
2794,1.0,2642.31,96.0,4.98,76,0,76.0,1183,0,0,79,87,0,230.297,712,25.65,11.69,40.759,11.69,38.9,72.06397563,0.828843763,8.022934577,TOC,,3
2795,1.01,2643.18,92.35,4.98,76,0,76.0,1183,0,0,79,87,0,230.615,711,27.23,11.69,40.77,11.69,38.9,72.06397563,0.797330432,8.338863418,TOC,,3
2796,1.03,2644.04,96.27,4.96,76,0,76.0,1185,0,0,80,87,0,230.436,712,25.81,11.69,40.788,11.69,39,71.77456207,0.831174886,7.969756886,TOC,,3
2797,1.04,2644.92,93.65,4.97,76,0,76.0,1183,0,0,80,86,0,230.405,710,26.63,11.69,40.814,11.69,39,71.91926885,0.808554358,8.208413004,TOC,,3
2798,1.06,2645.79,96.46,4.96,76,0,76.0,1184,0,0,80,87,0,230.2,714,25.11,11.69,40.835,11.69,38.9,71.77456207,0.832815306,7.955323603,TOC,,3
2799,1.07,2646.64,93.53,4.96,76,0,76.0,1184,0,0,80,87,0,230.075,714,26.16,11.69,40.846,11.69,38.8,71.77456207,0.807518304,8.203622273,TOC,,3
2805,1.05,2651.85,97.53,5.01,76,0,76.0,1185,0,0,80,87,0,230.099,715,26.51,11.69,40.903,11.69,39,72.49809596,0.84205346,7.947007815,TOC,,3
2806,1.04,2652.73,100.04,4.99,76,0,76.0,1185,0,0,80,87,0,230.26,714,27.72,11.69,40.903,11.69,39.1,72.20868241,0.863724271,7.717495977,TOC,,3
2807,1.03,2653.58,99.61,4.99,76,0,76.0,1185,0,0,80,87,0,229.814,715,26.01,11.69,40.904,11.69,39.2,72.20868241,0.860011742,7.750238878,TOC,,3
2808,1.03,2654.46,100.41,5.01,76,0,76.0,1184,0,0,80,87,0,229.972,715,25.82,11.69,40.911,11.69,39.2,72.49809596,0.866918773,7.719468091,TOC,,3
2809,1.03,2655.32,96.86,5.01,76,0,76.0,1185,0,0,80,87,0,230.158,715,26.3,11.69,40.915,11.69,39.1,72.49809596,0.836268822,8.000902107,TOC,,3
2810,1.04,2656.2,82.82,5.04,76,0,76.0,1186,0,0,80,87,0,229.972,713,27.41,11.69,40.918,11.69,39.1,72.9322163,0.715050421,9.406494491,TOC,,3
2811,1.04,2657.05,82.65,5.03,76,0,76.0,1186,0,0,80,87,0,230.208,714,26.43,11.69,40.919,11.69,39.1,72.78750952,0.713582677,9.407137504,TOC,,3
2812,1.03,2657.92,82.35,5.0,76,0,76.0,1185,0,0,80,87,0,230.167,713,26.91,11.69,40.91,11.69,39.2,72.35338919,0.71099254,9.384798292,TOC,,3
2813,1.04,2658.79,80.34,4.99,76,0,76.0,1185,0,0,80,87,0,230.193,713,27.51,11.69,40.905,11.69,39.3,72.20868241,0.693638624,9.599814874,TOC,,3
2814,1.02,2659.66,75.33,5.02,76,0,76.0,1186,0,0,80,87,0,230.047,714,26.88,11.69,40.922,11.69,39.3,72.64280274,0.65038334,10.29604101,TOC,,3
2815,1.03,2660.53,75.28,4.97,76,0,76.0,1185,0,0,80,87,0,230.059,715,27.09,11.69,40.957,11.69,38.9,71.91926885,0.649951651,10.20103088,TOC,,3
2816,1.03,2661.39,76.32,4.99,76,0,76.0,1186,0,0,80,87,0,229.908,713,25.91,11.69,40.951,11.69,38.5,72.20868241,0.658930792,10.10290703,TOC,,3
2817,1.03,2662.26,73.93,4.97,76,0,76.0,1186,0,0,80,87,0,229.707,715,27.93,11.69,40.941,11.69,38.4,71.91926885,0.638296035,10.38656415,TOC,,3
2818,1.03,2663.13,75.21,5.0,76,0,76.0,1186,0,0,80,87,0,229.799,713,26.1,11.69,40.941,11.69,38.4,72.35338919,0.649347286,10.27187457,TOC,,3
2819,1.03,2664,74.27,4.98,76,0,76.0,1186,0,0,80,87,0,229.728,714,27.25,11.69,40.942,11.69,38.5,72.06397563,0.641231524,10.35992318,TOC,,3
2820,1.01,2664.89,75.66,4.98,76,0,76.0,1181,0,0,80,87,0,238.762,715,26.82,11.69,40.971,11.61,39.3,72.06397563,0.653232491,10.16955162,TOC,,3
2821,1.02,2665.73,79.16,4.98,76,0,76.0,1202,0,0,80,87,0,250.328,716,25.45,11.69,41.011,11.69,39.6,72.06397563,0.683450753,9.722071176,TOC,,3
2822,0.97,2666.62,86.22,4.99,76,0,76.0,1235,0,0,80,87,0,250.018,716,26.2,11.69,41.03,11.69,39.7,72.20868241,0.744405305,8.945166767,TOC,,3
2823,0.49,2667.48,73.84,5.03,76,0,76.0,1240,0,0,80,87,0,250.453,713,26.27,11.69,41.033,11.69,39.8,72.78750952,0.637518994,10.50289927,TOC,,5
2829,0.73,2672.68,64.96,5.05,75,0,75.0,1195,0,0,80,87,0,205.309,712,26.39,11.69,41.111,11.69,40.1,72.11538462,0.568328959,11.83543461,TOC,,3
2830,1.04,2673.3,64.93,5.04,75,0,75.0,1195,0,0,80,87,0,205.462,712,26.65,11.69,41.144,11.69,40.2,71.97258187,0.568066492,11.82974288,TOC,,3
2831,1.04,2673.3,64.93,5.04,75,0,75.0,1195,0,0,80,87,0,205.462,712,26.65,11.69,41.144,11.69,40.2,71.97258187,0.568066492,11.82974288,TOC,,3
2832,1.04,2673.3,64.93,5.04,75,0,75.0,1195,0,0,80,87,0,205.462,712,26.65,11.69,41.144,11.69,40.2,71.97258187,0.568066492,11.82974288,TOC,,3
2833,1.04,2673.3,64.93,5.04,75,0,75.0,1195,0,0,80,87,0,205.462,712,26.65,11.69,41.144,11.69,40.2,71.97258187,0.568066492,11.82974288,TOC,,3
2834,1.04,2673.3,64.93,5.04,75,0,75.0,1195,0,0,80,87,0,205.462,712,26.65,11.69,41.144,11.69,40.2,71.97258187,0.568066492,11.82974288,TOC,,3
