     Depth,      ROP5,      STOR,      SWOB,       RPM,      CRPM,     STICK,      SPPA,      TFLO,      DHAP,     VIB_X,   VIB_LAT,    SHKRSK,      SHKL,    P40H#1,      GR#1,       MSE,       DOC
         m,       m/h,      kN.m,      1000,     c/min,     c/min,     c/min,       psi,   gal/min,       psi,        gn,        gn,          ,          ,     ohm.m,      gAPI,       ksi,    in/rev
    1015.9,   34.4049,   8.92329,  0.424645,   59.0004,   -999.25,   -999.25,   2027.02,   916.455,    1593.5,   -999.25,   0.49966,   -999.25,   -999.25,   1.43504,   44.7465,   21.5758,  0.382631
    1016.1,   33.7134,   8.66368,    0.1149,        59,   -999.25,   -999.25,   1995.26,    910.58,      1596,   -999.25,   -999.25,   -999.25,   -999.25,   1.44592,   42.0808,   21.3764,  0.374943
    1016.2,   34.4329,   4.85536,  0.705563,   59.9996,   -999.25,   -999.25,   1998.92,   922.324,      1597,   -999.25,   -999.25,   -999.25,   -999.25,   1.41329,    43.787,   11.9309,  0.376566
    1016.4,   32.8426,     8.051,  0.658778,   59.0008,        61,        87,   1997.52,   916.459,      1597,   -999.25,   -999.25,         0,   -999.25,   1.39249,   45.4931,   20.3939,  0.365254
    1016.5,   33.0761,   8.83961,  0.578012,        59,   -999.25,   -999.25,   1976.65,   910.582,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   1.37168,   47.2007,   22.2326,  0.367856
    1016.7,   33.3029,   6.41496,  0.896085,        59,   -999.25,   -999.25,   1977.87,    916.45,      1597,   0.12492,   0.24983,   -999.25,   -999.25,   1.35088,   48.9068,   16.0264,  0.370378
    1016.8,   33.2358,   8.40527,    1.7345,        59,   -999.25,   -999.25,   1982.23,   910.582,   1599.25,   -999.25,   -999.25,   -999.25,         0,   -999.25,   48.9068,   21.0435,  0.369632
    1017.0,   31.9418,    6.4959,   1.55826,        59,   -999.25,   -999.25,   1973.09,    916.45,   1589.01,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   48.9068,   16.9227,  0.355241
    1017.1,   30.8998,   9.58439, 0.0141386,        59,        66,        30,   1982.24,   910.582,   -999.25,   -999.25,   -999.25,         0,   -999.25,   -999.25,   48.9068,   25.8008,  0.343652
    1017.3,   30.6864,   1.36241,  0.477388,   59.9992,   -999.25,   -999.25,   2000.63,    928.19,   -999.25,   0.12492,   0.24983,   -999.25,   -999.25,   -999.25,   -999.25,   3.75759,  0.335595
    1017.4,   29.1478,   10.3142,  0.673911,   59.0004,   -999.25,   -999.25,   1982.58,   928.204,      1591,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   29.4372,  0.324165
    1017.6,   29.4293,   5.44074,   0.44959,        59,   -999.25,   -999.25,   1980.83,   916.464,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,     15.38,  0.327298
    1017.7,    28.647,    4.7996,  -0.50342,        59,        57,   -999.25,   1975.14,   916.455,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   1.47855,   -999.25,   13.9343,  0.318597
    1017.9,   28.5174,   6.80541,   1.35534,        59,   -999.25,        36,   1985.06,   910.582,   -999.25,   -999.25,   -999.25,         0,   -999.25,   -999.25,   -999.25,    19.856,  0.317156
