MD (m),Interval__unidentified (m),Drilling_hour__unidentified (h),Drilling_time__unidentified (min),ROP (m/h),WOB (klbs),BIT_RPM (rpm),TORQUE (kLbf.ft),Si (%),Shale (%),Dolomite (%),Limestone (%),BIT_DIAMETER (in),DOC (in/rev),Mu,MSE (ksi),cluster,MSE_min (ksi)
5433.6,122.6,52.2,5.8,2.35,0.014660999999999999,285.363,6.365160060000001,57.29473647,38.63250943,0.186330521,3.886423577,8.5,0.005403628302664793,1838.7780478821367,5135.108730600977,1,1129.4354949731883
5433.8,122.8,52.3,6.0,2.35,0.01474425,285.363,6.33565758,57.29473647,38.63250943,0.186330521,3.886423577,8.5,0.005403628302664793,1819.9212086067448,5111.30840072734,1,1129.4354949731883
5434.0,123.0,52.4,5.5,2.35,0.014624999999999999,285.363,6.424165020000001,61.36648427,35.40997442,0.051093491,3.172447827,8.5,0.005403628302664793,1860.3916800000006,5182.710140654386,1,1129.4354949731883
5434.2,123.2,52.5,4.5,2.35,0.0145755,285.363,6.51267246,61.36648427,35.40997442,0.051093491,3.172447827,8.5,0.005403628302664793,1892.4279345476998,5254.112281607126,1,1129.4354949731883
5434.4,123.4,52.6,4.1,2.35,0.01475775,285.363,6.497921220000001,61.36648427,35.40997442,0.051093491,3.172447827,8.5,0.005403628302664793,1864.8240768409821,5242.212925189853,1,1129.4354949731883
5434.6,123.6,52.7,5.3,2.35,0.014463,285.363,6.394662540000001,61.36648427,35.40997442,0.051093491,3.172447827,8.5,0.005403628302664793,1872.590516490355,5158.908400722664,1,1129.4354949731883
5434.8,123.8,52.7,2.7,2.35,0.014447249999999998,285.363,6.58642866,61.36648427,35.40997442,0.051093491,3.172447827,8.5,0.005403628302664793,1930.8493007319735,5313.613565530317,1,1129.4354949731883
5435.0,124.0,52.8,4.0,2.35,0.014553000000000002,285.363,6.58642866,60.55898793,34.03957635,0.059606063,5.34182966,8.5,0.005403628302664793,1916.8187012987012,5313.614173537015,1,1129.4354949731883
5435.2,124.2,52.9,6.0,2.35,0.014766749999999999,285.363,6.5200480800000005,60.55898793,34.03957635,0.059606063,5.34182966,8.5,0.005403628302664793,1870.0337772360203,5260.063583323008,1,1129.4354949731883
5435.4,124.4,53.0,5.9,2.35,0.006561,225.75,4.543381920000001,60.55898793,34.03957635,0.059606063,5.34182966,8.5,0.006830545219638243,2932.869794238684,2899.6673466783745,0,11.912269553328606
5435.6,124.67,53.0,5.0,2.35,0.01208925,284.363,6.2840282400000005,60.55898793,34.03957635,0.059606063,5.34182966,8.5,0.0054226308743870804,2201.5185259631494,5051.87637573167,1,1129.4354949731883
5435.8,124.8,53.0,3.6,2.35,0.012998250000000001,284.363,6.46841874,60.55898793,34.03957635,0.059606063,5.34182966,8.5,0.0054226308743870804,2107.641862558421,5200.115371630041,1,1129.4354949731883
5436.0,125.0,53.1,5.2,2.35,0.0126135,284.506,6.372535680000001,56.53588997,37.93738724,0.1511937,5.375529095,8.5,0.005419905321270319,2139.736225472708,5125.607824590145,1,1129.4354949731883
5436.2,125.2,53.2,5.3,2.35,0.01280925,285.363,6.372535680000001,56.53588997,37.93738724,0.1511937,5.375529095,8.5,0.005403628302664793,2107.0369365887937,5141.048286144912,1,1129.4354949731883
5436.4,125.4,53.3,6.4,2.35,0.01319175,285.506,6.313530720000001,56.53588997,37.93738724,0.1511937,5.375529095,8.5,0.005400921813668832,2026.9986559781682,5096.001239622073,1,1129.4354949731883
5436.6,125.6,53.4,5.1,2.35,0.01283175,285.506,6.365160060000001,56.53588997,37.93738724,0.1511937,5.375529095,8.5,0.005400921813668832,2100.907901104682,5137.671456912674,1,1129.4354949731883
5436.8,125.8,53.5,7.3,2.35,0.0128025,285.363,6.3430332,56.53588997,37.93738724,0.1511937,5.375529095,8.5,0.005403628302664793,2098.3879086115994,5117.247438818766,1,1129.4354949731883
5437.0,126.0,53.6,5.3,2.35,0.012932999999999998,285.506,6.431540640000001,55.14318186,41.1214613,0.121238175,3.614118666,8.5,0.005400921813668832,2106.1985803757834,5191.250693890421,1,1129.4354949731883
5437.2,126.2,53.7,7.7,2.35,0.013167,285.363,6.4167894,55.14318186,41.1214613,0.121238175,3.614118666,8.5,0.005403628302664793,2064.022966507177,5176.751555794443,1,1129.4354949731883
5437.4,126.4,53.8,4.3,2.35,0.01246725,285.506,6.35040882,55.14318186,41.1214613,0.121238175,3.614118666,8.5,0.005400921813668832,2157.3201082837036,5125.762993486974,1,1129.4354949731883
5437.6,126.6,53.9,8.7,2.35,0.01315125,285.506,6.313530720000001,55.14318186,41.1214613,0.121238175,3.614118666,8.5,0.005400921813668832,2033.240910179641,5096.001006768444,1,1129.4354949731883
5437.8,126.8,54.0,5.4,2.35,0.01316475,285.363,6.394662540000001,55.14318186,41.1214613,0.121238175,3.614118666,8.5,0.005403628302664793,2057.2571936421127,5158.900936470225,1,1129.4354949731883
5438.0,127.0,54.1,5.8,2.35,0.01311525,285.363,6.46841874,63.79472153,32.43247017,0.135549052,3.637259246,8.5,0.005403628302664793,2088.8397735460626,5218.402673164361,1,1129.4354949731883
5438.2,127.2,54.2,6.3,2.35,0.01361925,284.363,6.306155100000001,63.79472153,32.43247017,0.135549052,3.637259246,8.5,0.0054226308743870804,1961.0787378159594,5069.673224779683,1,1129.4354949731883
