DEPREAMMD	DEPREAMTVD	ROPA_AVG	WOB_AVG	TORQ_AVG	SURFRPM_AVG	MOTORRPM_AVG	BITRPM_AVG	SPP_AVG	CHKP_AVG	CEMENTP_AVG	SPM01_AVG	SPM02_AVG	SPM03_AVG	PITACTIVE_AVG	FLOWIN_AVG	FLOWOUTP_AVG	DIN_AVG	TIN_AVG	DOUT_AVG	TOUT_AVG
m	m	m/h	kLbf	kLbf.ft	rpm	rpm	rpm	Psi	Psi	Psi	Stk/min	Stk/min	Stk/min	bbl	gal/min	%	ppg	°C	ppg	°C
745.5	745.49	25.16	9.93	1	58	0	58.2	984	0	0	68	72	0	249.486	701	3.26	11.02	33.881	8.6	37
745.75	745.74	24.71	9.86	1	59	0	58.6	965	0	0	69	72	0	248.117	704	2.76	11.02	33.882	0	28.3
746	745.99	23.47	9.88	1	59	0	58.8	958	0	0	69	72	0	247.311	702	2.68	11.02	33.883	8.6	37
746.25	746.24	23.63	9.91	1	59	0	58.8	953	0	0	68	71	0	247.529	695	2.83	11.02	33.881	0	28.3
746.5	746.49	22.78	9.97	1	59	0	58.7	949	0	0	68	71	0	247.603	693	2.72	11.02	33.878	8.6	37
746.75	746.75	23.97	9.93	1	59	0	58.8	947	0	0	68	72	0	247.064	700	2.83	11.02	33.878	0	28.4
747	746.99	31.93	9.85	1	59	0	58.9	948	0	0	69	72	0	245.9	704	2.94	11.02	33.876	8.6	37.1
747.25	747.24	32.66	9.9	1	59	0	58.7	945	0	0	69	72	0	248.631	704	2.96	11.02	33.883	8.6	37.2
747.5	747.49	34.63	9.86	1	59	0	58.9	947	0	0	69	72	0	256.596	703	3.38	11.03	33.888	8.61	38.8
747.75	747.75	32.79	9.83	1	59	0	58.8	952	0	0	68	71	0	264.604	692	2.99	11.02	33.887	8.6	39.7
748	747.99	31.22	9.79	1	59	0	58.8	942	0	0	65	67	0	267.449	658	2.21	11.02	33.881	8.59	39.3
748.25	748.24	34.17	9.83	1	59	0	58.6	925	0	0	65	68	0	267.111	662	2.11	11.02	33.878	8.59	38.5
