Depth,Interval,Drilling_hour,Drilling_time,ROP,WOB,RPM_Total,TQ_Table,Si,Shale,Dolomite,Limestone
m,m,h,min,m/h,KN,rpm,KN.m,%,%,%,%
5334.8,23.8,9,3.3,2.63,42.22,268.065,6.61,69.62017982,23.13717475,0.206489756,7.036155678
5335,24,9.1,4.6,2.63,43.52,267.922,6.59,71.59121686,21.89989637,0.169205128,6.33968164
5335.2,24.2,9.2,5.3,2.63,52.81,267.922,6.56,71.59121686,21.89989637,0.169205128,6.33968164
5335.4,24.4,9.3,6.2,2.62,47.54,267.922,6.58,71.59121686,21.89989637,0.169205128,6.33968164
5335.6,24.6,9.4,2.5,2.63,38.83,268.065,6.64,71.59121686,21.89989637,0.169205128,6.33968164
5335.8,24.8,9.4,2.4,2.64,47.21,268.065,6.8,71.59121686,21.89989637,0.169205128,6.33968164
5336,25,9.5,4.9,2.64,47.61,267.922,6.81,65.10850877,28.26067032,0.126969722,6.503851188
5336.2,25.2,9.5,3.8,2.64,45.39,267.922,6.63,65.10850877,28.26067032,0.126969722,6.503851188
5336.4,25.4,9.6,4.3,2.64,46.24,267.922,6.54,65.10850877,28.26067032,0.126969722,6.503851188
5336.6,25.6,9.7,4.3,2.64,48.57,267.922,6.64,65.10850877,28.26067032,0.126969722,6.503851188
5336.8,25.82,9.8,3.6,2.65,47.93,267.922,6.46,65.10850877,28.26067032,0.126969722,6.503851188
5337,26,9.8,4.7,2.64,48.35,267.922,6.51,62.28073927,26.81948098,0.243756898,10.65602286
5337.2,26.2,9.9,5.9,2.64,48.34,267.922,6.43,62.28073927,26.81948098,0.243756898,10.65602286
5337.4,26.4,10,2.8,2.65,49.37,267.922,6.56,62.28073927,26.81948098,0.243756898,10.65602286
5337.6,26.6,10,4.5,2.65,51.44,267.922,6.63,62.28073927,26.81948098,0.243756898,10.65602286
5337.8,26.8,10.2,6.4,2.64,48.13,268.065,6.53,62.28073927,26.81948098,0.243756898,10.65602286
5338,27,10.2,4,2.64,45.93,267.922,6.63,65.91311986,28.08832835,0.099327146,5.899224643
5338.2,27.2,10.3,3.4,2.65,46.48,267.922,6.45,65.91311986,28.08832835,0.099327146,5.899224643
5338.4,27.41,10.3,3.2,2.65,50.59,267.922,6.56,65.91311986,28.08832835,0.099327146,5.899224643
5338.6,27.6,10.4,5.1,2.65,47.57,267.922,6.63,65.91311986,28.08832835,0.099327146,5.899224643
5338.8,27.8,10.5,4,2.65,46.1,267.922,6.68,65.91311986,28.08832835,0.099327146,5.899224643
5339,28,10.5,3.6,2.65,49.44,268.065,6.68,71.86010055,23.13258036,0.098648991,4.908670107
5339.2,28.2,10.6,4.1,2.66,52.54,268.065,6.61,71.86010055,23.13258036,0.098648991,4.908670107
5339.4,28.4,10.7,6.6,2.65,48.98,268.065,6.68,71.86010055,23.13258036,0.098648991,4.908670107
5339.6,28.6,10.8,4.1,2.65,43.64,267.922,6.53,71.86010055,23.13258036,0.098648991,4.908670107
5339.8,28.8,10.9,3.6,2.65,46,268.065,6.58,71.86010055,23.13258036,0.098648991,4.908670107
5340,29,11,9,2.64,11.36,177.575,3.22,69.12914499,26.16800595,0.22862838,4.47422068
5340.2,29.2,11.1,5.9,2.63,32.08,268.065,6.38,69.12914499,26.16800595,0.22862838,4.47422068
5340.4,29.4,11.2,6.3,2.62,31.47,268.065,6.21,69.12914499,26.16800595,0.22862838,4.47422068
5340.6,29.6,11.3,8.3,2.61,31.84,267.922,6.29,69.12914499,26.16800595,0.22862838,4.47422068
5340.8,29.8,11.4,3.1,2.62,40.09,267.922,6.42,69.12914499,26.16800595,0.22862838,4.47422068
5341,30,11.5,4.8,2.61,46.56,267.922,6.82,61.36498933,24.9315612,0.090808948,13.61264053
5341.2,30.2,11.5,4.2,2.62,45.65,267.922,6.82,61.36498933,24.9315612,0.090808948,13.61264053
5341.4,30.4,11.7,6.7,2.61,48.47,267.922,6.64,61.36498933,24.9315612,0.090808948,13.61264053
5341.6,30.6,11.7,3.6,2.61,44.86,267.922,6.76,61.36498933,24.9315612,0.090808948,13.61264053
5341.8,30.8,11.8,5.8,2.61,49.81,267.922,6.67,61.36498933,24.9315612,0.090808948,13.61264053
5342,31,11.9,5.7,2.6,47.88,267.922,6.63,61.04242872,30.11522003,0.151625061,8.69072619
5342.2,31.2,12,4.7,2.6,47.38,267.922,6.75,61.04242872,30.11522003,0.151625061,8.69072619
5342.4,31.4,12.1,6.4,2.6,49.14,267.922,6.86,61.04242872,30.11522003,0.151625061,8.69072619
5342.6,31.6,12.2,4.7,2.6,46.03,267.922,6.85,61.04242872,30.11522003,0.151625061,8.69072619
5342.8,31.8,12.2,4.5,2.6,47.55,267.922,6.84,61.04242872,30.11522003,0.151625061,8.69072619
5343,32,12.3,4.2,2.6,46.7,267.922,6.74,66.38655921,27.15564394,0.234744215,6.223052632
5343.2,32.2,12.4,4.3,2.6,46.35,267.922,6.62,66.38655921,27.15564394,0.234744215,6.223052632
5343.4,32.4,12.5,6.4,2.59,47.87,267.922,6.65,66.38655921,27.15564394,0.234744215,6.223052632
5343.6,32.6,12.6,5.9,2.59,47.98,267.922,6.6,66.38655921,27.15564394,0.234744215,6.223052632
5343.8,32.8,12.7,4.9,2.59,48.98,267.922,6.75,66.38655921,27.15564394,0.234744215,6.223052632
5344,33,12.8,5.6,2.59,48.96,267.922,6.67,69.15995063,26.99641836,0.174170345,3.669460672
5344.2,33.2,12.9,5.5,2.58,49.67,267.922,6.6,69.15995063,26.99641836,0.174170345,3.669460672
5344.4,33.4,13,5.6,2.58,50.11,267.922,6.76,69.15995063,26.99641836,0.174170345,3.669460672
5344.6,33.6,13,4.4,2.58,47.36,267.922,6.89,69.15995063,26.99641836,0.174170345,3.669460672
5344.8,33.8,13.1,4.3,2.58,46.36,267.922,6.94,69.15995063,26.99641836,0.174170345,3.669460672
5345,34,13.2,4.3,2.58,46.95,267.922,6.75,64.00491605,28.49378246,0.199600063,7.301701426
5345.2,34.2,13.3,5.9,2.58,49.36,268.065,6.65,64.00491605,28.49378246,0.199600063,7.301701426
5345.4,34.4,13.3,4,2.58,49.07,267.922,6.93,64.00491605,28.49378246,0.199600063,7.301701426
5345.6,34.6,13.4,4.8,2.58,46.32,267.922,6.83,64.00491605,28.49378246,0.199600063,7.301701426
5345.8,34.8,13.5,3.5,2.58,51.18,267.922,6.75,64.00491605,28.49378246,0.199600063,7.301701426
5346,35,13.6,6.8,2.58,51.79,267.922,6.67,70.99759055,23.93507956,0.194954538,4.872375352
5346.2,35.2,13.7,6,2.57,46.56,267.922,6.75,70.99759055,23.93507956,0.194954538,4.872375352
5346.4,35.4,13.7,3.8,2.58,43.69,267.922,6.58,70.99759055,23.93507956,0.194954538,4.872375352
5346.6,35.6,13.8,2.5,2.58,49.91,268.065,6.63,70.99759055,23.93507956,0.194954538,4.872375352
5346.8,35.8,13.9,7.8,2.57,54.12,267.922,6.91,70.99759055,23.93507956,0.194954538,4.872375352
5347,36,14,3.4,2.58,43.22,267.922,6.71,71.77497307,23.10073693,0.244678296,4.879611704
5347.2,36.2,14,2.5,2.58,52.6,266.922,6.97,71.77497307,23.10073693,0.244678296,4.879611704
5347.4,36.4,14.1,8.1,2.57,55.21,267.922,6.64,71.77497307,23.10073693,0.244678296,4.879611704
